power_dBm,sinad_mean_dB,sinad_std_dB,keithley_sinad_mean_dB,keithley_sinad_std_dB,keithley_freq_mean_Hz,keithley_freq_std_Hz
-125.0,-4.639153584551144,1.1466441874061306,0.43159949307882817,0.4825827614277358,958.1483726562499,65.8166509560754
-124.4,-3.6752665944979546,0.9710256148601913,0.385014525153125,0.46912619144363854,968.5153679687501,68.81458414563407
-123.8,-2.6999578917981015,1.0343711625732646,0.4965449850341406,0.6031232520182885,999.48324140625,71.25392997683369
-123.2,-1.7519675378155926,0.9040992073340328,0.6938995390535938,0.7134912497854895,993.0333078125,58.11985164525947
-122.6,-0.8024381665953171,0.8255263960481821,0.8784216632785624,0.7901026734421973,1010.8592687500001,52.148584969596364
-122.0,0.13429533986987607,0.8512699996728771,0.8965838276765548,1.016441220781871,1019.3116109375001,56.61316450888189
-121.4,1.0493841812178948,0.8195394839283738,1.1386653493209375,1.1819619728325186,1022.1181132812501,47.74076118446141
-120.8,2.0757747175099635,0.819739784055343,1.132268120360703,1.2396482110534468,1030.49351484375,44.42621468423811
-120.2,2.879602550707889,0.7615297393855824,1.6145761887520313,1.4994542197680152,1029.65046640625,36.77795284422338
-119.6,3.4907902635738615,0.8599626016370355,1.9109990502148357,1.7681014586366923,1027.2776914062501,32.723057607910505
-119.0,3.9225458368408144,0.861534608882696,2.124680070849789,1.7129014045616708,1023.07198359375,28.190531661628473
-118.4,4.718098251500139,0.895458681298813,2.4903336961047655,1.9888300755795767,1022.8350304687499,25.797277521864345
-117.8,5.651682615415031,0.8151282558476386,3.200936840940625,1.9659375556188867,1018.48493359375,20.846827770094446
-117.2,6.612126268374356,0.8895344219996638,4.309043549906249,2.192867368745708,1013.6472562499999,15.2567339240884
-116.6,7.502556798934953,0.8259482463758557,4.637415723749999,2.396372776643956,1013.1598109375001,15.101013844519866
-116.0,8.393221388362491,0.907593567738654,6.32222277971875,2.471817506379834,1007.22556484375,12.507142344061787
-115.4,9.40470428614455,1.0647940872841086,7.65824621490625,2.575217034525719,1004.7520515625,10.103133394900501
-114.8,10.563053394315913,1.2539662947633106,8.826864144140625,2.3229595476113936,1003.30584609375,6.266557593810759
-114.2,11.434244472961645,1.2714528588786285,10.432650215859375,2.752830752546146,1001.621871875,4.940316852407118
-113.6,12.493066233843923,1.3776160564227122,11.271942066562499,2.7734190034113437,1000.917259375,4.073907328839802
-113.0,13.506104405469014,1.2868669868688971,13.031984939296876,2.9153094164062328,1000.4385179687499,2.006403153127566
-112.4,15.205114340214426,1.6853498943646852,14.814912475078126,3.1012184793090682,1000.12170625,1.2661676079901296
-111.8,16.989688190406817,1.9667438861674036,15.89946036265625,2.997582136746725,1000.12841640625,1.220708968103765
-111.2,18.307364661538706,1.7841978802646379,17.30046196171875,2.8113500897077763,1000.0561781250001,0.33857448542046853
-110.6,19.603655726110983,2.006694881783634,18.63783023671875,2.918072783474242,1000.0778500000001,0.26234333569056106
-110.0,20.889650670434005,1.860535641763246,20.15613896953125,2.69924648975784,1000.02952109375,0.23019881137438383
-109.4,21.925516067602558,1.7170333563779823,20.82987543984375,2.6250786641340444,1000.031159375,0.18555161993932534
-108.8,22.817348468914794,1.6102263660129261,22.135744397656254,2.017637348499893,1000.0012812499999,0.1545581129330882
-108.2,23.883723695792852,1.083549565690329,22.879584141406248,1.7590832952617939,1000.02359140625,0.11838031338876609
-107.6,24.712929320299814,0.8954075618984628,23.809671598437497,1.329279932661837,1000.0008781249999,0.1053629114785433
-107.0,25.50270194702216,0.6820116167228346,24.59801666328125,1.3625923403795606,1000.01042578125,0.10133659279081475
-106.4,26.01944422468729,0.5933894048599314,25.187575682031248,1.1530196670615152,1000.01582265625,0.08845858159935172
-105.8,26.681161878850418,0.454911830361758,25.82326665390625,0.9973255585949113,999.996340625,0.07945508502989868
-105.2,27.101265060159186,0.41917577041465004,26.426377935937502,0.746570587636189,1000.0181156250001,0.06982302789631575
-104.6,27.437682105049795,0.33712844351289317,26.739848374218752,1.0649909733914016,1000.00482421875,0.06074090820095735
-104.0,27.719766654148565,0.3374474813983495,27.159526985937497,0.7945434620116729,1000.00417890625,0.06022708284632852
-103.4,27.996638346387606,0.2624295157629699,27.4374836703125,0.6563749403248765,1000.0076578125,0.04872968103697169
-102.8,28.261564396422123,0.267379850725565,27.78441530546875,0.5883091332463325,1000.00740390625,0.05286536614709012
-102.2,28.45030295199298,0.22067630492143472,28.038910283593747,0.48644770353070005,1000.0095953125001,0.044034494396749856
-101.6,28.57522875174967,0.23546788926904413,28.282727268749998,0.43752326517020446,1000.00383125,0.03978327174752771
-101.0,28.61470360626741,0.19257328339762414,28.350231808593755,0.34876416478724137,1000.01435390625,0.03515333799572226
-100.4,28.656697828907415,0.1579464717729969,28.3791160265625,0.35280650083902554,1000.0136781250001,0.03322139497348652
-99.8,28.781788805008695,0.1718285017786186,28.50501853359375,0.3248150052807504,1000.00546484375,0.03271786015944744
-99.2,28.74688679155921,0.14739496691554788,28.52315144140625,0.2934632520376487,1000.0130648437498,0.02626558343941339
-98.6,28.713393351762964,0.12995822888471145,28.52252168984375,0.28903105110158905,1000.00474453125,0.027308657649046636
-98.0,28.62686820600107,0.1298660186026096,28.466409982031248,0.2526028766280765,1000.00828203125,0.024737943507879265
-97.4,28.56277569825004,0.11744887079261397,28.4501307765625,0.22542267356677695,1000.00778828125,0.022114261592820084
-96.8,28.563493478632864,0.10917268509127633,28.41929900546875,0.1895918032438755,1000.0076578124999,0.019400159508748526
-96.2,28.554148211664845,0.10362042271317741,28.40061025234375,0.18815945485956934,1000.00537109375,0.01897145121765193
-95.6,28.510942403432644,0.09686646408125832,28.393411127343747,0.17152399755497347,1000.0064046875,0.01891495299431953
-95.0,28.420689202312076,0.0880374673635888,28.31651711171875,0.1711806657479896,1000.0052023437499,0.017303031999673407
